timestamp,accX,accY,accZ,motion
0,0.645237,-2.387019,5.018247,clockwise
10,0.905008,-2.613271,4.495114,clockwise
20,1.140837,-2.531868,3.961207,clockwise
30,1.284489,-2.261323,3.551798,clockwise
40,1.408988,-1.845930,3.256114,clockwise
50,1.522712,-1.498770,3.167529,clockwise
60,1.594538,-1.692701,3.096900,clockwise
70,1.689109,-2.503138,3.191471,clockwise
80,1.805228,-3.724181,3.505111,clockwise
90,1.918953,-5.331887,3.900155,clockwise
100,2.003947,-6.751649,4.610035,clockwise
110,1.991976,-7.315483,5.583278,clockwise
120,1.936909,-7.056910,6.519411,clockwise
130,1.892616,-6.366182,7.387310,clockwise
140,1.818396,-5.910087,8.123527,clockwise
150,1.613692,-5.723339,8.537724,clockwise
160,1.266533,-5.366603,8.535329,clockwise
170,0.895431,-4.802769,8.219295,clockwise
180,0.520739,-4.320337,8.030152,clockwise
190,0.094571,-4.231751,8.356961,clockwise
200,-0.322020,-4.594473,9.317036,clockwise
210,-0.611719,-5.189432,10.502166,clockwise
220,-0.713472,-5.747281,11.548432,clockwise
230,-0.624887,-5.651513,12.354081,clockwise
240,-0.397437,-4.566940,12.719196,clockwise
250,-0.136469,-3.211822,12.509704,clockwise
260,0.013168,-2.313996,11.971008,clockwise
270,0.017957,-1.939303,11.501745,clockwise
280,-0.077812,-1.860295,11.348516,clockwise
290,-0.307655,-1.912967,11.647791,clockwise
300,-0.669179,-2.404976,12.220005,clockwise
310,-1.004368,-3.100491,13.351266,clockwise
320,-1.161188,-3.512294,14.835670,clockwise
330,-1.116895,-3.398569,16.118963,clockwise
340,-0.906205,-2.816778,16.777369,clockwise
350,-0.624887,-2.190695,16.411055,clockwise
360,-0.375890,-1.625663,15.480908,clockwise
370,-0.238223,-1.247379,14.585477,clockwise
380,-0.305261,-0.942118,14.226347,clockwise
390,-0.544681,-0.483629,14.742297,clockwise
400,-0.887052,0.076614,15.953763,clockwise
410,-1.312023,0.409408,17.202339,clockwise
420,-1.715446,0.555455,17.899052,clockwise
430,-1.944092,0.981623,17.932571,clockwise
440,-1.940500,1.643619,17.448942,clockwise
450,-1.787272,2.026692,16.688784,clockwise
460,-1.550246,2.081758,15.873557,clockwise
470,-1.231817,2.129642,14.863204,clockwise
480,-0.958878,2.333150,13.724761,clockwise
490,-0.928950,2.750938,12.689269,clockwise
500,-1.205481,3.512294,11.997345,clockwise
510,-1.756147,4.429273,12.052411,clockwise
520,-2.516306,5.046977,12.862848,clockwise
530,-3.306392,5.160702,14.056358,clockwise
540,-3.878607,4.839879,14.961367,clockwise
550,-4.078523,4.729745,14.968549,clockwise
560,-3.590106,6.189012,12.460623,clockwise
570,-3.234566,6.883330,11.046846,clockwise
580,-3.015497,7.152678,9.830592,clockwise
590,-2.871845,6.952762,8.695741,clockwise
600,-2.658761,6.483498,7.760805,clockwise
610,-2.394202,5.917270,7.019799,clockwise
620,-2.153584,5.285200,6.566098,clockwise
630,-1.942895,4.762067,6.385336,clockwise
640,-1.736993,4.503493,6.247669,clockwise
650,-1.546654,4.449624,6.075287,clockwise
660,-1.393425,4.400543,5.868188,clockwise
670,-1.270124,4.181473,5.589264,clockwise
680,-1.142034,3.955221,5.274426,clockwise
690,-0.985214,3.897760,4.947618,clockwise
700,-0.822408,3.945644,4.581305,clockwise
710,-0.678756,3.924097,4.193444,clockwise
720,-0.593762,3.722984,3.824737,clockwise
730,-0.585382,3.372233,3.745728,clockwise
740,-0.600945,2.862268,4.204218,clockwise
750,-0.671574,2.455254,4.929661,clockwise
760,-0.779313,2.531868,5.455189,clockwise
770,-0.849942,2.712631,5.319916,clockwise
780,-0.903811,2.229002,4.537012,clockwise
790,-0.847547,1.181539,4.001908,clockwise
800,-0.605733,0.385466,4.271256,clockwise
810,-0.265756,0.229843,4.971560,clockwise
820,0.094571,0.353145,5.330690,clockwise
830,0.436942,0.175974,5.031415,clockwise
840,0.707487,-0.478840,4.244920,clockwise
850,0.879869,-1.417367,3.478775,clockwise
860,0.937330,-2.255338,3.366248,clockwise
870,0.841562,-2.719813,3.756502,clockwise
880,0.705092,-2.908955,3.915717,clockwise
890,0.659603,-3.452439,3.634398,clockwise
900,0.671574,-4.382586,3.555390,clockwise
910,0.736217,-4.871003,4.001908,clockwise
920,0.916979,-4.576517,4.587290,clockwise
930,1.152808,-3.774459,5.200206,clockwise
940,1.319205,-3.496732,6.023811,clockwise
950,1.418565,-4.459201,7.048530,clockwise
960,1.467646,-5.941212,8.054094,clockwise
970,1.382651,-7.162254,8.935161,clockwise
980,1.144428,-7.814674,9.781511,clockwise
990,0.818817,-7.885303,10.222044,clockwise
1000,0.387861,-7.832631,9.940725,clockwise
1010,-0.118513,-7.947553,9.866506,clockwise
1020,-0.616507,-7.937976,11.060015,clockwise
1030,-0.998382,-7.766790,12.896367,clockwise
1040,-1.100136,-7.453150,14.141353,clockwise
1050,-0.943315,-6.843825,14.379576,clockwise
1060,-0.707487,-6.137536,14.131776,clockwise
1070,-0.499191,-5.404911,14.082694,clockwise
1080,-0.360327,-4.763264,14.477737,clockwise
1090,-0.492008,-4.418499,14.974535,clockwise
1100,-0.804452,-4.217386,15.623363,clockwise
1110,-1.149217,-4.131195,16.223110,clockwise
1120,-1.553837,-4.090494,16.667234,clockwise
1130,-1.851915,-3.846285,16.782156,clockwise
1140,-1.957260,-3.356671,16.182409,clockwise
1150,-1.861492,-2.596512,15.227123,clockwise
1160,-1.575385,-1.541866,14.301764,clockwise
1170,-1.159991,-0.571017,13.652935,clockwise
1180,-0.709881,-0.112527,13.036428,clockwise
1190,-0.313640,-0.075417,12.400767,clockwise
1200,-0.044293,-0.073023,11.984177,clockwise
1210,0.087388,0.192733,11.779472,clockwise
1220,0.070629,0.544681,11.767501,clockwise
1230,-0.185551,0.644040,12.148179,clockwise
1240,-0.653617,0.648829,13.067553,clockwise
1250,-1.146823,0.934936,14.456190,clockwise
1260,-1.527501,1.431733,15.635334,clockwise
1270,-1.703475,2.070984,15.910667,clockwise
1280,-1.754950,2.817975,15.094245,clockwise
1290,-1.804031,3.490746,13.825317,clockwise
1300,-1.890222,3.955221,13.004107,clockwise
1310,-2.138022,4.217386,12.956223,clockwise
1320,-3.014300,5.346252,14.510059,clockwise
1330,-3.299210,6.132748,15.346833,clockwise
1340,-3.448848,6.707356,15.467740,clockwise
1350,-3.499126,6.903681,14.659697,clockwise
1360,-3.422511,6.944382,13.211205,clockwise
1370,-3.214216,7.015011,11.864467,clockwise
1380,-2.931700,7.003040,11.051635,clockwise
1390,-2.698265,6.825869,10.600328,clockwise
1400,-2.574964,6.512228,10.169372,clockwise
1410,-2.477999,6.115988,9.654618,clockwise
1420,-2.383428,5.802348,9.191340,clockwise
1430,-2.286463,5.601235,8.763975,clockwise
1440,-2.142811,5.328296,8.334216,clockwise
1450,-1.928530,4.948815,7.674613,clockwise
1460,-1.622072,4.620809,6.665458,clockwise
1470,-1.261744,4.471172,5.486313,clockwise
1480,-0.952892,4.264073,4.465186,clockwise
1490,-0.775721,3.825934,3.960010,clockwise
1500,-0.711078,3.347094,3.919308,clockwise
1510,-0.709881,3.150769,3.943250,clockwise
1520,-0.799663,3.289633,3.903746,clockwise
1530,-0.927753,3.410540,4.029441,clockwise
1540,-0.945710,3.532645,4.195838,clockwise
1550,-0.816423,3.739743,3.938462,clockwise
1560,-0.555455,3.786430,3.208230,clockwise
1570,-0.185551,3.563769,2.449268,clockwise
1580,0.153229,3.004723,2.120066,clockwise
1590,0.311246,2.130840,2.299631,clockwise
1600,0.256180,1.189918,2.844312,clockwise
1610,0.111330,0.515950,3.731363,clockwise
1620,0.016759,0.317232,4.842273,clockwise
1630,-0.022745,0.345962,5.697003,clockwise
