timestamp,accX,accY,accZ,motion
0,-0.007183,1.606509,9.397242,horizontal
10,0.053870,1.697489,8.623915,horizontal
20,-0.132878,2.416947,7.352593,horizontal
30,-0.378284,3.564966,6.181829,horizontal
40,-0.602142,4.510676,5.237316,horizontal
50,-0.945710,5.363012,4.693832,horizontal
60,-1.350330,6.582858,4.844667,horizontal
70,-1.708263,8.281544,5.811924,horizontal
80,-2.019509,9.623494,6.943185,horizontal
90,-2.239776,9.953894,7.638700,horizontal
100,-2.294842,9.692925,7.856573,horizontal
110,-2.231396,9.427169,7.578846,horizontal
120,-2.234987,9.342175,6.768408,horizontal
130,-2.366668,9.570822,5.749675,horizontal
140,-2.594118,10.333375,4.995502,horizontal
150,-2.919729,11.440693,4.627992,horizontal
160,-3.252523,12.394782,4.572925,horizontal
170,-3.488352,12.947843,4.850653,horizontal
180,-3.633201,12.933477,5.295974,horizontal
190,-3.683479,12.388797,5.732916,horizontal
200,-3.626019,11.810597,6.136339,horizontal
210,-3.454833,11.561600,6.459556,horizontal
220,-3.184288,11.367670,6.825869,horizontal
230,-2.912546,10.833763,7.274782,horizontal
240,-2.681506,9.981427,7.787141,horizontal
250,-2.454057,9.081207,8.419210,horizontal
260,-2.257732,8.409634,9.029732,horizontal
270,-2.164358,7.869741,9.454702,horizontal
280,-2.199074,7.378930,9.654618,horizontal
290,-2.297236,6.860585,9.666590,horizontal
300,-2.353500,5.993884,9.708488,horizontal
310,-2.333150,5.130774,9.805453,horizontal
320,-2.238579,4.766856,9.791088,horizontal
330,-2.048239,4.884171,9.597157,horizontal
340,-1.707066,5.002685,9.312247,horizontal
350,-1.262941,4.493917,9.165004,horizontal
360,-0.866701,3.317167,8.963891,horizontal
370,-0.587777,1.778892,8.558074,horizontal
380,-0.366313,0.195127,8.380903,horizontal
390,-0.146046,-0.984017,8.805874,horizontal
400,-0.033519,-1.318008,9.648633,horizontal
410,-0.118513,-1.067814,10.421960,horizontal
420,-0.287304,-1.072602,10.753557,horizontal
430,-0.102951,-1.736993,11.012131,horizontal
440,0.214281,-2.341529,11.354502,horizontal
450,0.503979,-3.256114,11.427525,horizontal
460,0.700304,-4.217386,11.109096,horizontal
470,0.792481,-5.052963,10.638636,horizontal
480,0.792481,-5.500679,10.347740,horizontal
490,0.761356,-5.512650,10.512939,horizontal
500,0.715866,-5.370194,11.050438,horizontal
510,0.598550,-5.358223,11.553221,horizontal
520,0.389058,-5.377377,11.905168,horizontal
530,0.114922,-5.197812,12.218808,horizontal
540,-0.192733,-4.781221,12.527660,horizontal
550,-0.483629,-4.237737,12.656947,horizontal
560,-0.684742,-3.742137,12.502522,horizontal
570,-0.767342,-3.494337,12.144588,horizontal
580,-0.742203,-3.544616,11.698070,horizontal
590,-0.624887,-3.678691,11.374852,horizontal
600,-0.457293,-3.799598,11.275493,horizontal
610,-0.302867,-3.921702,11.271901,horizontal
620,-0.208296,-3.969586,11.287464,horizontal
630,-0.155623,-3.945644,11.385626,horizontal
640,-0.105345,-3.869030,11.610682,horizontal
650,-0.041899,-3.823540,11.803414,horizontal
660,0.059855,-3.869030,11.767501,horizontal
670,0.181959,-3.931279,11.479000,horizontal
680,0.280122,-3.799598,11.032481,horizontal
690,0.354342,-3.392584,10.602722,horizontal
700,0.417788,-3.023877,10.328587,horizontal
710,0.460884,-2.965219,10.268731,horizontal
720,0.456095,-3.068170,10.387244,horizontal
730,0.381875,-2.978387,10.532093,horizontal
740,0.254982,-2.630031,10.581175,horizontal
750,0.104148,-2.063802,10.485406,horizontal
760,-0.035913,-1.290475,10.255563,horizontal
770,-0.172383,-0.436942,10.014946,horizontal
780,-0.349553,0.345962,9.831789,horizontal
790,-0.524330,1.041478,9.832987,horizontal
800,-0.618901,1.632846,10.089166,horizontal
810,-0.599748,1.916559,10.383653,horizontal
820,-0.475249,1.898602,10.463859,horizontal
830,-0.326809,1.896208,10.201694,horizontal
840,-0.257377,2.146402,9.708488,horizontal
850,-0.290895,2.706645,9.034520,horizontal
860,-0.373495,3.598485,8.209718,horizontal
870,-0.429759,4.722563,7.523779,horizontal
880,-0.508768,5.631162,7.162254,horizontal
890,-0.691924,6.291962,6.776788,horizontal
900,-0.848745,6.883330,6.736086,horizontal
910,-0.889446,7.000646,7.207744,horizontal
920,-0.932542,6.641516,7.632715,horizontal
930,-1.034295,6.422446,7.914034,horizontal
940,-1.112107,6.730101,8.093599,horizontal
950,-1.148020,7.466318,8.115147,horizontal
960,-1.273715,8.415619,7.590816,horizontal
970,-1.507150,9.396045,6.597223,horizontal
980,-1.720234,10.245986,5.777209,horizontal
990,-1.827973,10.820595,5.462371,horizontal
1000,-1.814805,11.071986,5.614403,horizontal
1010,-1.695095,10.997766,6.057330,horizontal
1020,-1.489193,10.686520,6.472724,horizontal
1030,-1.247379,10.226832,6.633136,horizontal
1040,-1.006762,9.690532,6.507440,horizontal
1050,-0.772130,9.193734,6.339846,horizontal
1060,-0.620098,8.682572,6.269217,horizontal
1070,-0.596156,8.228871,6.229713,horizontal
1080,-0.630872,8.012196,6.399701,horizontal
1090,-0.663194,7.843405,6.862979,horizontal
1100,-0.666785,7.491457,7.413646,horizontal
1110,-0.614113,7.066486,7.918822,horizontal
1120,-0.526724,6.670246,8.236053,horizontal
1130,-0.495600,6.287174,8.271967,horizontal
1140,-0.608127,6.014235,8.124723,horizontal
1150,-0.837971,5.986701,7.989451,horizontal
1160,-1.065420,6.196194,8.111555,horizontal
1170,-1.207875,6.376956,8.492233,horizontal
1180,-1.254562,6.199785,8.932767,horizontal
1190,-1.213860,5.621585,9.326612,horizontal
1200,-0.978031,3.944447,9.518148,horizontal
1210,-0.826000,3.154361,9.382876,horizontal
1220,-0.677559,2.499547,9.388862,horizontal
1230,-0.577003,1.951274,9.648633,horizontal
1240,-0.553061,1.284489,9.973047,horizontal
1250,-0.555455,0.559046,10.231621,horizontal
1260,-0.541090,0.087388,10.402806,horizontal
1270,-0.514753,-0.154426,10.345345,horizontal
1280,-0.497994,-0.339977,10.083180,horizontal
1290,-0.529119,-0.525527,9.774328,horizontal
1300,-0.602142,-0.770933,9.600749,horizontal
1310,-0.650026,-1.119289,9.688137,horizontal
1320,-0.667982,-1.717840,9.973047,horizontal
1330,-0.682347,-2.743755,10.415975,horizontal
1340,-0.618901,-4.009091,11.080365,horizontal
1350,-0.421380,-5.242105,11.881226,horizontal
1360,-0.125696,-6.290765,12.722788,horizontal
1370,0.217872,-7.204153,13.533225,horizontal
1380,0.512359,-7.977480,14.190434,horizontal
1390,0.664391,-8.465898,14.656106,horizontal
1400,0.630872,-8.708909,14.902708,horizontal
1410,0.454898,-8.717288,14.951790,horizontal
1420,0.265756,-8.402451,14.919468,horizontal
1430,0.125696,-7.738060,14.689625,horizontal
1440,0.046687,-6.956353,14.046782,horizontal
1450,0.035913,-6.259640,13.141773,horizontal
1460,0.088585,-5.647922,12.231977,horizontal
1470,0.178368,-5.202600,11.392809,horizontal
1480,0.287304,-5.002685,10.566810,horizontal
1490,0.404620,-4.849455,9.843760,horizontal
1500,0.521936,-4.449624,9.454702,horizontal
1510,0.627281,-3.839103,9.451111,horizontal
1520,0.694318,-3.345897,9.520543,horizontal
1530,0.697910,-3.027468,9.418790,horizontal
1540,0.606930,-2.653973,9.176975,horizontal
1550,0.424971,-2.147599,8.876503,horizontal
1560,0.156820,-1.632846,8.719683,horizontal
1570,-0.198719,-1.168370,8.742428,horizontal
1580,-0.545878,-0.561440,8.905233,horizontal
1590,-0.775721,0.337582,9.357738,horizontal
1600,-0.926556,1.283292,9.779117,horizontal
1610,-0.967257,1.902193,9.819818,horizontal
1620,-0.902614,2.076970,9.665392,horizontal
1630,-1.012747,2.043451,9.311050,horizontal
1640,-1.337162,2.303222,8.866926,horizontal
1650,-1.578976,3.247735,8.777143,horizontal
1660,-1.638831,4.507085,9.238028,horizontal
1670,-1.752556,5.412093,9.398438,horizontal
1680,-2.019509,6.160281,8.966286,horizontal
1690,-2.135628,6.930017,8.707711,horizontal
1700,-1.962048,7.422025,8.647857,horizontal
1710,-1.717840,7.809886,8.297106,horizontal
1720,-1.559822,8.292317,7.414843,horizontal
1730,-1.458069,8.523358,6.551733,horizontal
1740,-1.347936,8.585608,6.234501,horizontal
1750,-1.204283,8.693346,6.372168,horizontal
1760,-1.051055,8.757990,6.690597,horizontal
1770,-0.930147,8.719683,6.937200,horizontal
1780,-0.831985,8.628703,7.031770,horizontal
1790,-0.741005,8.698134,6.941988,horizontal
1800,-0.642843,8.768764,6.694188,horizontal
1810,-0.515950,8.578424,6.441600,horizontal
1820,-0.323217,8.282741,6.242881,horizontal
1830,-0.116119,8.134300,6.046556,horizontal
1840,0.057461,8.045714,5.917270,horizontal
1850,0.187945,7.817069,5.963956,horizontal
1860,0.253785,7.356185,6.167464,horizontal
1870,0.258574,6.642713,6.470330,horizontal
