timestamp,accX,accY,accZ,motion
0,-0.004788,-0.076614,9.891644,idle
10,-0.009577,0.009577,9.846154,idle
20,0.011971,0.165200,9.837775,idle
30,0.057461,0.159214,9.816227,idle
40,0.106542,0.003591,9.739613,idle
50,0.140061,-0.172383,9.679757,idle
60,0.172383,-0.227449,9.720459,idle
70,0.202310,-0.196325,9.756371,idle
80,0.210690,-0.229843,9.690532,idle
90,0.211887,-0.175974,9.631873,idle
100,0.220267,-0.027533,9.624691,idle
110,0.233435,0.043096,9.673772,idle
120,0.245406,0.035913,9.757569,idle
130,0.252588,-0.041899,9.769540,idle
140,0.259771,-0.158017,9.742006,idle
150,0.263362,-0.169988,9.742006,idle
160,0.268151,-0.035913,9.737218,idle
170,0.269348,0.081403,9.727641,idle
180,0.244209,0.119710,9.659407,idle
190,0.214281,0.166397,9.659407,idle
200,0.198719,0.252588,9.780313,idle
210,0.186748,0.228646,9.782708,idle
220,0.189142,0.017957,9.737218,idle
230,0.215478,-0.140061,9.785102,idle
240,0.241814,-0.191536,9.798270,idle
250,0.258574,-0.368707,9.720459,idle
260,0.277727,-0.418985,9.690532,idle
270,0.301669,-0.094571,9.689334,idle
280,0.311246,0.168791,9.537302,idle
290,0.290895,0.134075,9.352949,idle
300,0.247800,-0.051475,9.364920,idle
310,0.215478,-0.193930,9.599552,idle
320,0.196325,-0.119710,9.897630,idle
330,0.166397,-0.020351,9.998186,idle
340,0.141258,-0.147243,9.884461,idle
350,0.140061,-0.402226,9.798270,idle
360,0.164003,-0.612916,9.849746,idle
370,0.226252,-0.269348,9.991004,idle
380,0.248997,0.201113,9.815030,idle
390,0.233435,0.111330,9.493010,idle
400,0.289698,-0.007183,9.530120,idle
410,0.378284,0.019154,9.594764,idle
420,0.396240,0.002394,9.570822,idle
430,0.345962,-0.104148,9.660604,idle
440,0.292093,-0.205901,9.733627,idle
450,0.268151,-0.140061,9.716867,idle
460,0.280122,0.009577,9.730036,idle
470,0.290895,0.046687,9.752781,idle
480,0.278924,-0.021548,9.700109,idle
490,0.263362,-0.161609,9.532514,idle
500,0.277727,-0.237026,9.449914,idle
510,0.331597,-0.052672,9.641450,idle
520,0.373495,0.222661,9.822212,idle
530,0.371101,0.276530,9.788693,idle
540,0.356736,0.126893,9.691729,idle
550,0.344765,-0.110133,9.630676,idle
560,0.336385,-0.205901,9.657013,idle
570,0.332794,-0.047884,9.707291,idle
580,0.339977,0.082600,9.660604,idle
590,0.359130,0.106542,9.579201,idle
600,0.371101,0.034716,9.573215,idle
610,0.359130,-0.116119,9.589975,idle
620,0.329203,-0.125696,9.615114,idle
630,0.300472,-0.159214,9.618706,idle
640,0.281319,-0.356736,9.542090,idle
650,0.282516,-0.348356,9.538500,idle
660,0.302867,-0.122104,9.609129,idle
670,0.331597,-0.051475,9.606734,idle
680,0.363919,-0.199916,9.570822,idle
690,0.401029,-0.384269,9.616311,idle
700,0.424971,-0.490811,9.713276,idle
710,0.422577,-0.557849,9.737218,idle
720,0.391452,-0.487220,9.639056,idle
730,0.363919,-0.232238,9.549273,idle
740,0.373495,-0.129287,9.631873,idle
750,0.399832,-0.149638,9.716867,idle
760,0.421380,-0.166397,9.654618,idle
770,0.454898,-0.187945,9.549273,idle
780,0.484826,-0.071826,9.459491,idle
790,0.474052,0.055067,9.446322,idle
800,0.426168,-0.051475,9.515755,idle
810,0.360327,-0.280122,9.604341,idle
820,0.301669,-0.330400,9.703699,idle
830,0.275333,-0.307655,9.752781,idle
840,0.280122,-0.413000,9.691729,idle
850,0.302867,-0.508768,9.581595,idle
860,0.339977,-0.393846,9.552865,idle
870,0.368707,-0.220267,9.612720,idle
880,0.365116,-0.257377,9.576807,idle
890,0.341174,-0.354342,9.510966,idle
900,0.319626,-0.268151,9.556456,idle
910,0.301669,-0.199916,9.586384,idle
920,0.282516,-0.278924,9.487024,idle
930,0.281319,-0.384269,9.400833,idle
940,0.295684,-0.393846,9.463082,idle
950,0.293290,-0.301669,9.556456,idle
960,0.270545,-0.211887,9.592369,idle
970,0.234632,-0.216675,9.622296,idle
980,0.201113,-0.234632,9.700109,idle
990,0.166397,-0.180762,9.702502,idle
1000,0.152032,-0.187945,9.621099,idle
1010,0.175974,-0.264559,9.672575,idle
1020,0.193930,-0.252588,9.712079,idle
1030,0.181959,-0.260968,9.585187,idle
1040,0.144849,-0.418985,9.491813,idle
1050,0.087388,-0.447716,9.461885,idle
1060,0.020351,-0.384269,9.402030,idle
1070,-0.031125,-0.524330,9.434352,idle
1080,-0.045490,-0.749385,9.569624,idle
1090,-0.027533,-0.758962,9.697714,idle
1100,-0.008380,-0.600945,9.789890,idle
1110,-0.010774,-0.494403,9.787497,idle
1120,-0.026336,-0.512359,9.702502,idle
1130,-0.044293,-0.459687,9.618706,idle
1140,-0.055067,-0.277727,9.555259,idle
