timestamp,accX,accY,accZ,motion
0,-0.549469,-0.063446,8.358158,vertical
10,-0.877475,-0.560243,9.151836,vertical
20,-1.200692,-0.840365,9.701305,vertical
30,-1.406593,-0.982820,10.313024,vertical
40,-1.568202,-0.822408,10.906786,vertical
50,-1.800440,-0.304064,11.812991,vertical
60,-2.056619,-0.071826,13.333309,vertical
70,-2.364274,-0.472855,14.628572,vertical
80,-2.680309,-0.788889,15.652094,vertical
90,-2.956839,-0.468066,16.603788,vertical
100,-3.191471,0.004788,17.229872,vertical
110,-3.303998,0.396240,17.276560,vertical
120,-3.372233,0.626084,16.615759,vertical
130,-3.457227,1.013944,16.090233,vertical
140,-3.429694,1.561020,16.564285,vertical
150,-3.301604,1.557428,17.356766,vertical
160,-3.161543,1.280898,17.731459,vertical
170,-3.050213,0.980426,17.791313,vertical
180,-3.010709,0.798466,17.504009,vertical
190,-3.040636,0.830788,16.944963,vertical
200,-3.069367,0.896629,16.437391,vertical
210,-3.098097,0.820014,16.102203,vertical
220,-3.139996,0.529119,15.911864,vertical
230,-3.149572,0.500388,15.794549,vertical
240,-3.125630,0.834379,15.877149,vertical
250,-3.108871,0.952892,16.180016,vertical
260,-3.112462,0.730232,16.503233,vertical
270,-3.131616,0.402226,16.912642,vertical
280,-3.175909,0.058658,17.228676,vertical
290,-3.217807,-0.166397,17.269377,vertical
300,-3.224990,-0.076614,17.282545,vertical
310,-3.210624,0.114922,17.233463,vertical
320,-3.215413,0.094571,16.991650,vertical
330,-3.219004,-0.110133,16.688784,vertical
340,-3.144784,-0.476446,16.451757,vertical
350,-2.958036,-0.985214,16.111780,vertical
360,-2.676718,-1.357512,15.319300,vertical
370,-2.375048,-1.411382,14.050373,vertical
380,-2.109292,-1.209072,12.700043,vertical
390,-1.891419,-0.803255,11.578360,vertical
400,-1.707066,-0.362722,10.664971,vertical
410,-1.544260,0.043096,9.816227,vertical
420,-1.383849,0.452504,8.977059,vertical
430,-1.188721,0.693121,8.277952,vertical
440,-0.944513,0.493206,7.753622,vertical
450,-0.652420,-0.043096,7.196970,vertical
460,-0.313640,-0.463278,6.543353,vertical
470,0.063446,-0.658405,5.819107,vertical
480,0.432153,-0.831985,5.003881,vertical
490,0.742203,-0.910994,4.225766,vertical
500,0.974440,-0.779313,3.581726,vertical
510,1.139640,-0.497994,2.984372,vertical
520,1.276109,-0.180762,2.427721,vertical
530,1.516727,0.411803,1.623269,vertical
540,1.630451,0.357933,1.559822,vertical
550,1.685518,-0.090980,1.715446,vertical
560,1.690306,-0.767342,2.020706,vertical
570,1.656788,-1.430536,2.474407,vertical
580,1.589750,-1.884237,2.754529,vertical
590,1.543063,-1.938106,2.636016,vertical
600,1.553837,-1.483208,2.262521,vertical
610,1.594538,-0.894234,1.768118,vertical
